County,Average Annual Count,Recent Trend,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Death Rate cases per 100,000",Recent 5-Year Trend in Death Rates
Upshur County,85,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.9 ,177.9 
Wilbarger County,24,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.7 ,177.7 
Camp County,22,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.6 ,177.6 
Callahan County,34,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,177.2 ,177.2 
Oldham County,3,*,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.9 ,176.9 
Jasper County,73,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.8 ,176.8 
Yoakum County,8,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.6 ,176.6 
Gray County,41,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,176.4 ,176.4 
Lampasas County,44,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.4 ,175.4 
Brazoria County,386,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.2 ,175.2 
Freestone County,38,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,175.0 ,175.0 
Taylor County,210,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.8 ,174.8 
Brown County,82,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.7 ,174.7 
Lynn County,8,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.1 ,174.1 
Franklin County,24,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,174.0 ,174.0 
Clay County,28,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.9 ,173.9 
Chambers County,53,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.7 ,173.7 
Gregg County,190,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.3 ,173.3 
Bastrop County,124,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,173.0 ,173.0 
Blanco County,29,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.9 ,172.9 
Palo Pinto County,62,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,172.0 ,172.0 
Dallam County,7,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,171.7 ,171.7 
San Augustine County,21,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.2 ,170.2 
Refugio County,11,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.1 ,170.1 
Andrews County,16,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,170.0 ,170.0 
Titus County,43,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.8 ,169.8 
Victoria County,113,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,169.3 ,169.3 
Hopkins County,71,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.6 ,168.6 
Cass County,67,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.3 ,168.3 
Parker County,246,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.2 ,168.2 
Van Zandt County,125,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.2 ,168.2 
Calhoun County,30,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,168.1 ,168.1 
Milam County,49,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.9 ,167.9 
Gonzales County,28,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.5 ,167.5 
Lavaca County,49,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,167.0 ,167.0 
Nueces County,280,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.5 ,166.5 
Angelina County,136,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,166.1 ,166.1 
Val Verde County,19,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.8 ,165.8 
Briscoe County,4,*,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.5 ,165.5 
Cochran County,3,*,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.1 ,165.1 
Waller County,51,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,165.0 ,165.0 
Hardin County,107,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.9 ,164.9 
Caldwell County,46,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.5 ,164.5 
Grimes County,46,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.5 ,164.5 
Floyd County,8,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.2 ,164.2 
El Paso County,229,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,164.1 ,164.1 
Wharton County,55,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.8 ,163.8 
Newton County,26,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.5 ,163.5 
Nacogdoches County,90,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.2 ,163.2 
Ellis County,218,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,163.0 ,163.0 
Cooke County,81,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.9 ,162.9 
Armstrong County,5,*,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.9 ,162.9 
Wood County,117,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.7 ,162.7 
Madison County,20,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,162.3 ,162.3 
Bandera County,56,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.5 ,161.5 
Marion County,23,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.3 ,161.3 
Guadalupe County,179,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,161.0 ,161.0 
Rains County,29,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.8 ,160.8 
Hale County,34,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.7 ,160.7 
Kerr County,138,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.2 ,160.2 
Jefferson County,267,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,160.2 ,160.2 
Cherokee County,84,rising,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.4 ,159.4 
Houston County,44,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,159.0 ,159.0 
Red River County,27,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.7 ,158.7 
Burnet County,105,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.7 ,158.7 
San Jacinto County,58,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.3 ,158.3 
Hood County,149,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.0 ,158.0 
Burleson County,35,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.0 ,158.0 
Harrison County,99,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,158.0 ,158.0 
Tarrant County,1986,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.9 ,157.9 
Llano County,71,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,157.0 ,157.0 
Tom Green County,151,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.8 ,156.8 
McLennan County,315,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.4 ,156.4 
Mills County,12,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.4 ,156.4 
Archer County,19,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,156.0 ,156.0 
Rusk County,80,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.6 ,155.6 
Throckmorton County,4,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.5 ,155.5 
Schleicher County,3,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,155.1 ,155.1 
Montgomery County,744,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.9 ,154.9 
Bexar County,1181,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.8 ,154.8 
Jim Wells County,18,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,154.0 ,154.0 
Wilson County,63,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.9 ,153.9 
Dallas County,1783,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.7 ,153.7 
Erath County,60,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,153.3 ,153.3 
Comal County,232,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.7 ,152.7 
Harris County,2828,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.1 ,152.1 
Tyler County,47,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,152.0 ,152.0 
Jack County,16,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.8 ,151.8 
Midland County,151,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.4 ,151.4 
Lubbock County,317,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,151.3 ,151.3 
Dickens County,4,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,150.0 ,150.0 
Howard County,39,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,150.0 ,150.0 
Medina County,57,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,150.0 ,150.0 
Frio County,8,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.8 ,148.8 
Atascosa County,40,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,148.6 ,148.6 
Walker County,80,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,147.1 ,147.1 
Comanche County,29,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.7 ,146.7 
Austin County,49,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.5 ,146.5 
Fisher County,8,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,146.5 ,146.5 
Zapata County,4,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.6 ,145.6 
Smith County,311,rising,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,145.4 ,145.4 
Rockwall County,114,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.3 ,144.3 
San Saba County,11,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,144.2 ,144.2 
Menard County,4,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.2 ,143.2 
Parmer County,9,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,143.2 ,143.2 
Mason County,10,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.8 ,142.8 
Hays County,181,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,142.2 ,142.2 
Karnes County,14,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.8 ,141.8 
Colorado County,36,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.6 ,141.6 
Washington County,66,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,141.4 ,141.4 
Williamson County,549,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.9 ,140.9 
Randall County,190,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.5 ,140.5 
Terry County,11,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,140.5 ,140.5 
Garza County,6,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.8 ,138.8 
Hartley County,8,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,138.2 ,138.2 
Live Oak County,17,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,137.5 ,137.5 
Shackelford County,6,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.9 ,135.9 
Lamb County,14,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,135.8 ,135.8 
Gillespie County,67,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,134.1 ,134.1 
Denton County,688,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,133.3 ,133.3 
Fort Bend County,388,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,132.3 ,132.3 
Hall County,5,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.9 ,131.9 
Fayette County,53,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.8 ,131.8 
Kendall County,68,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.8 ,131.8 
Sutton County,3,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.7 ,131.7 
Collin County,817,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,131.0 ,131.0 
Castro County,6,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.3 ,130.3 
Cameron County,124,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.1 ,130.1 
Reeves County,4,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,130.0 ,130.0 
Brewster County,12,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,129.1 ,129.1 
Ochiltree County,8,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,126.9 ,126.9 
Brazos County,147,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,126.7 ,126.7 
Travis County,798,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,125.7 ,125.7 
Lipscomb County,5,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,124.7 ,124.7 
Carson County,10,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,124.3 ,124.3 
Concho County,5,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,123.7 ,123.7 
Hidalgo County,159,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,122.0 ,122.0 
Kinney County,4,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,104.3 ,104.3 
Collingsworth County,3,stable,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,97.0 ,97.0 
Webb County,12,falling,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,95.1 ,95.1 
Jeff Davis County,3,*,Texas,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,87.1 ,87.1 
DeWitt County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,362.7 ,362.7 
Hill County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,286.0 ,286.0 
Grimes County,13,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,262.6 ,262.6 
Colorado County,8,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,260.8 ,260.8 
Polk County,10,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,255.9 ,255.9 
Gonzales County,5,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,250.4 ,250.4 
Rockwall County,9,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,247.9 ,247.9 
Hale County,4,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,247.7 ,247.7 
Anderson County,27,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,245.6 ,245.6 
Limestone County,11,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,239.8 ,239.8 
Potter County,19,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,231.1 ,231.1 
Hunt County,16,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,228.3 ,228.3 
Hardin County,8,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,226.4 ,226.4 
Rusk County,23,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,224.9 ,224.9 
Lubbock County,40,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,223.6 ,223.6 
Galveston County,106,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,222.8 ,222.8 
Hays County,10,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,222.6 ,222.6 
Matagorda County,12,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,218.2 ,218.2 
Wharton County,15,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,217.9 ,217.9 
Lee County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,213.7 ,213.7 
Red River County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,212.6 ,212.6 
Burleson County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,211.7 ,211.7 
Taylor County,16,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,211.4 ,211.4 
Navarro County,15,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,207.8 ,207.8 
Brazos County,33,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,206.5 ,206.5 
Cass County,14,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,206.0 ,206.0 
Morris County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.6 ,204.6 
Harrison County,37,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,204.6 ,204.6 
Lamar County,14,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,203.2 ,203.2 
Panola County,10,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,201.9 ,201.9 
McLennan County,70,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,200.8 ,200.8 
Bastrop County,14,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,199.1 ,199.1 
Cherokee County,16,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,198.4 ,198.4 
Shelby County,10,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,197.0 ,197.0 
Houston County,13,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,195.6 ,195.6 
Wood County,5,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,195.3 ,195.3 
Jasper County,13,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,194.8 ,194.8 
Ellis County,31,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,193.4 ,193.4 
Robertson County,8,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,192.2 ,192.2 
Liberty County,17,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,190.6 ,190.6 
Wichita County,22,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,189.2 ,189.2 
Dallas County,962,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,189.1 ,189.1 
Jefferson County,168,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,188.9 ,188.9 
Gregg County,45,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,187.5 ,187.5 
Titus County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,186.4 ,186.4 
Caldwell County,5,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,186.3 ,186.3 
Harris County,1352,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,182.4 ,182.4 
Bell County,87,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,182.0 ,182.0 
Grayson County,14,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,181.5 ,181.5 
Newton County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,180.6 ,180.6 
Austin County,5,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,180.5 ,180.5 
Tarrant County,431,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,180.2 ,180.2 
Orange County,14,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,180.2 ,180.2 
Kaufman County,22,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,179.8 ,179.8 
San Jacinto County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.4 ,177.4 
Victoria County,11,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,177.2 ,177.2 
Ector County,11,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,176.8 ,176.8 
Bowie County,40,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,174.6 ,174.6 
Midland County,17,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,174.3 ,174.3 
Henderson County,10,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,174.1 ,174.1 
Travis County,145,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,173.6 ,173.6 
Bexar County,222,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,171.6 ,171.6 
Nacogdoches County,18,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,171.5 ,171.5 
Angelina County,23,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,171.4 ,171.4 
Hopkins County,5,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,169.3 ,169.3 
Chambers County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,168.1 ,168.1 
Upshur County,8,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,167.1 ,167.1 
Nueces County,24,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,164.9 ,164.9 
Leon County,4,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,162.5 ,162.5 
Tom Green County,7,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,161.7 ,161.7 
Brazoria County,58,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,160.7 ,160.7 
Marion County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,159.2 ,159.2 
Milam County,5,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,158.7 ,158.7 
Van Zandt County,3,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,158.4 ,158.4 
Smith County,65,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,156.6 ,156.6 
Tyler County,3,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,151.6 ,151.6 
Washington County,11,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,150.9 ,150.9 
Williamson County,34,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,150.1 ,150.1 
Freestone County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,150.0 ,150.0 
Guadalupe County,17,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,149.6 ,149.6 
Madison County,3,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,145.1 ,145.1 
Denton County,59,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,144.8 ,144.8 
Trinity County,3,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,144.5 ,144.5 
Montgomery County,31,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,143.1 ,143.1 
San Augustine County,4,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,142.1 ,142.1 
Falls County,6,stable,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,138.7 ,138.7 
Walker County,17,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,135.9 ,135.9 
Collin County,72,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,132.0 ,132.0 
Camp County,4,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,130.9 ,130.9 
Fort Bend County,165,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,129.2 ,129.2 
Waller County,10,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,121.7 ,121.7 
Johnson County,6,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,121.1 ,121.1 
Comal County,3,*,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,115.1 ,115.1 
Coryell County,6,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,101.6 ,101.6 
El Paso County,21,falling,Texas,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,96.9 ,96.9 
Dallas County,7,*,Texas,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,38.2 ,38.2 
Harris County,8,*,Texas,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,30.2 ,30.2 
Tarrant County,4,*,Texas,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,29.9 ,29.9 
Bexar County,4,*,Texas,All Cancer Sites,Amer. Indian / AK Native (includes Hispanic),All Sexes,All Ages,19.0 ,19.0 
Coryell County,4,*,Texas,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,152.9 ,152.9 
Taylor County,4,*,Texas,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,121.6 ,121.6 
Bell County,16,stable,Texas,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,117.5 ,117.5 
