,County,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate†deaths per 100,000(95% Confidence Interval)",CI*Rank&fork;(95% Confidence Interval),Average Annual Count,Recent Trend,Recent 5-Year Trend‡ in Death Rates(95% Confidence Interval),State,Cancer,Race/Ethnicity,Sex,Age,Borough Or Census Area,Parish
253,Terrell County,***,*,*,3 or fewer,*,*,Texas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
254,Throckmorton County,***,*,*,3 or fewer,*,*,Texas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
255,Zapata County,***,*,*,3 or fewer,*,*,Texas,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
0,Utah,***,"142.8 (139.7, 145.9)",,1718,falling,"-1.1 (-1.5, -0.7)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
1,United States,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
2,Grand County,***,"196.7 (149.1, 255.9)","1 (1, 18)",12,stable,"-1.2 (-2.6, 0.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
3,Sevier County,***,"192.0 (157.9, 231.4)","2 (1, 13)",23,stable,"0.2 (-0.7, 1.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
4,Kane County,***,"190.8 (137.4, 259.4)","3 (1, 22)",10,stable,"-1.8 (-3.9, 0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
5,Carbon County,***,"178.9 (145.2, 218.4)","4 (1, 18)",21,falling,"-1.1 (-2.0, -0.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
6,Beaver County,***,"178.9 (118.6, 258.7)","5 (1, 25)",6,stable,"-1.5 (-3.2, 0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
7,Duchesne County,***,"163.2 (127.1, 206.1)","6 (1, 24)",14,falling,"-1.8 (-3.3, -0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
8,Tooele County,***,"162.4 (138.3, 189.0)","7 (2, 20)",37,falling,"-1.5 (-2.4, -0.7)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
9,Juab County,***,"162.3 (112.9, 224.9)","8 (1, 25)",8,stable,"0.0 (-2.0, 2.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
10,Uintah County,***,"156.8 (127.9, 189.8)","9 (2, 23)",22,falling,"-1.6 (-2.7, -0.6)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
11,Iron County,***,"152.3 (129.2, 178.2)","10 (3, 23)",33,falling,"-1.6 (-2.6, -0.5)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
12,Weber County,***,"151.7 (141.0, 162.9)","11 (5, 17)",158,falling,"-1.2 (-1.6, -0.9)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
13,Salt Lake County,***,"151.0 (145.6, 156.5)","12 (6, 16)",645,falling,"-1.3 (-1.6, -1.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
14,Emery County,***,"144.2 (103.5, 196.4)","13 (1, 25)",9,falling,"-2.6 (-4.2, -0.9)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
15,Garfield County,***,"143.5 (92.2, 216.1)","14 (1, 25)",5,falling,"-2.3 (-4.5, -0.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
16,Utah County,***,"136.9 (128.8, 145.2)","15 (10, 22)",227,falling,"-1.0 (-1.3, -0.6)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
17,Sanpete County,***,"135.0 (109.3, 164.9)","16 (5, 25)",20,falling,"-2.1 (-3.0, -1.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
18,Box Elder County,***,"133.0 (113.6, 154.8)","17 (7, 25)",34,falling,"-1.3 (-2.2, -0.4)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
19,Morgan County,***,"132.3 (88.9, 188.5)","18 (2, 25)",6,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
20,Cache County,***,"131.5 (116.4, 148.0)","19 (9, 25)",56,falling,"-1.0 (-1.5, -0.4)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
21,Wasatch County,***,"131.0 (101.9, 165.2)","20 (5, 25)",16,stable,"-1.4 (-2.8, 0.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
22,Davis County,***,"130.4 (121.3, 139.9)","21 (12, 24)",160,stable,"-0.9 (-2.0, 0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
23,San Juan County,***,"127.7 (93.4, 170.3)","22 (4, 25)",10,stable,"-0.2 (-1.7, 1.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
24,Washington County,***,"127.1 (117.8, 137.0)","23 (13, 24)",148,falling,"-1.4 (-1.9, -1.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
25,Summit County,***,"121.0 (95.8, 150.2)","24 (8, 25)",21,falling,"-2.1 (-3.6, -0.5)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
26,Millard County,***,"103.3 (74.1, 140.9)","25 (11, 25)",8,stable,"-1.7 (-3.4, 0.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
27,Daggett County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
28,Piute County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
29,Rich County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
30,Wayne County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
0,Utah,***,"105.1 (102.6, 107.5)",,1467,falling,"-0.9 (-1.1, -0.7)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
1,United States,***,"131.1 (130.9, 131.3)",,283394,falling,"-1.9 (-2.1, -1.6)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
2,Piute County,***,"286.1 (144.6, 520.1)","1 (1, 20)",3,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
3,Duchesne County,***,"158.5 (124.1, 199.4)","2 (1, 12)",15,stable,"0.7 (-0.8, 2.2)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
4,Kane County,***,"156.5 (110.3, 217.6)","3 (1, 20)",8,stable,"0.1 (-1.6, 1.9)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
5,Beaver County,***,"137.4 (81.1, 216.0)","4 (1, 25)",4,stable,"-0.2 (-2.2, 2.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
6,Carbon County,***,"128.0 (101.2, 160.2)","5 (2, 21)",17,stable,"0.0 (-1.0, 1.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
7,Tooele County,***,"125.1 (106.5, 145.9)","6 (2, 18)",33,falling,"-1.0 (-1.8, -0.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
8,Iron County,***,"122.9 (103.2, 145.2)","7 (2, 20)",29,stable,"-0.1 (-1.2, 1.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
9,Grand County,***,"116.4 (80.5, 163.9)","8 (2, 25)",7,falling,"-1.8 (-3.0, -0.5)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
10,Uintah County,***,"115.9 (93.0, 142.6)","9 (3, 23)",18,stable,"-1.0 (-2.0, 0.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
11,Wasatch County,***,"114.3 (89.3, 143.9)","10 (3, 24)",16,falling,"-1.7 (-2.8, -0.6)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
12,Salt Lake County,***,"110.8 (106.7, 114.9)","11 (7, 16)",577,falling,"-1.0 (-1.2, -0.7)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
13,Millard County,***,"108.1 (78.1, 146.7)","12 (3, 25)",9,stable,"-0.4 (-2.0, 1.1)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
14,San Juan County,***,"107.6 (76.8, 146.5)","13 (3, 25)",8,stable,"-1.0 (-2.4, 0.5)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
15,Sevier County,***,"104.6 (81.4, 132.8)","14 (4, 25)",14,stable,"-1.4 (-2.7, 0.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
16,Weber County,***,"104.3 (96.3, 112.9)","15 (8, 21)",127,falling,"-0.9 (-1.3, -0.5)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
17,Utah County,***,"102.8 (96.5, 109.3)","16 (9, 21)",205,falling,"-0.6 (-0.9, -0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
18,Morgan County,***,"102.3 (66.3, 150.5)","17 (2, 25)",5,falling,"-2.0 (-3.8, -0.3)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
19,Cache County,***,"99.9 (87.4, 113.6)","18 (8, 24)",47,stable,"-0.8 (-1.5, 0.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
20,Box Elder County,***,"99.6 (83.7, 117.7)","19 (6, 24)",28,stable,"-0.6 (-1.5, 0.2)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
21,Davis County,***,"98.4 (91.3, 106.0)","20 (11, 23)",144,falling,"-0.7 (-1.2, -0.2)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
22,Emery County,***,"91.0 (61.3, 131.5)","21 (4, 25)",6,falling,"-1.7 (-3.1, -0.2)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
23,Sanpete County,***,"88.4 (68.0, 113.1)","22 (7, 25)",13,stable,"-1.2 (-2.4, 0.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
24,Washington County,***,"87.1 (79.5, 95.3)","23 (17, 25)",108,falling,"-1.4 (-1.9, -0.9)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
25,Summit County,***,"82.0 (63.1, 104.5)","24 (11, 25)",15,stable,"-1.1 (-2.4, 0.2)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
26,Juab County,***,"74.9 (44.7, 117.2)","25 (6, 25)",4,falling,"-2.8 (-4.6, -1.0)",Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
27,Daggett County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
28,Garfield County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
29,Rich County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
30,Wayne County,***,*,*,3 or fewer,*,*,Utah,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
0,Vermont,***,"187.9 (181.7, 194.3)",,739,falling,"-1.5 (-1.7, -1.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
1,United States,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
2,Grand Isle County,***,"235.6 (169.6, 319.9)","1 (1, 14)",10,stable,"-1.2 (-2.8, 0.3)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
3,Franklin County,***,"227.2 (201.4, 255.4)","2 (1, 6)",61,falling,"-1.0 (-1.6, -0.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
4,Bennington County,***,"211.0 (186.4, 238.5)","3 (1, 10)",56,falling,"-1.4 (-2.0, -0.8)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
5,Rutland County,***,"201.5 (182.1, 222.7)","4 (1, 11)",85,falling,"-1.1 (-1.6, -0.7)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
6,Essex County,***,"200.9 (150.2, 268.2)","5 (1, 14)",11,falling,"-1.6 (-2.9, -0.3)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
7,Orleans County,***,"194.7 (166.9, 226.2)","6 (1, 14)",38,falling,"-1.6 (-2.1, -1.1)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
8,Windham County,***,"188.0 (165.6, 212.9)","7 (2, 14)",57,falling,"-1.7 (-2.3, -1.1)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
9,Orange County,***,"183.5 (156.4, 214.3)","8 (2, 14)",36,falling,"-1.4 (-2.3, -0.5)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
10,Caledonia County,***,"181.6 (155.6, 211.1)","9 (3, 14)",38,falling,"-1.4 (-2.2, -0.7)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
11,Lamoille County,***,"181.4 (151.3, 215.9)","10 (2, 14)",27,falling,"-1.1 (-1.8, -0.5)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
12,Chittenden County,***,"180.1 (166.7, 194.3)","11 (5, 14)",142,falling,"-1.9 (-2.3, -1.5)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
13,Washington County,***,"177.9 (158.5, 199.3)","12 (4, 14)",64,stable,"-0.7 (-1.8, 0.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
14,Addison County,***,"171.2 (147.6, 197.8)","13 (5, 14)",41,falling,"-1.8 (-2.5, -1.0)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
15,Windsor County,***,"168.2 (150.6, 187.6)","14 (7, 14)",72,falling,"-1.7 (-2.3, -1.2)",Vermont,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
0,Vermont,***,"137.2 (132.3, 142.2)",,652,falling,"-1.0 (-1.2, -0.9)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
1,United States,***,"131.1 (130.9, 131.3)",,283394,falling,"-1.9 (-2.1, -1.6)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
2,Essex County,***,"177.5 (129.4, 242.7)","1 (1, 13)",10,stable,"-0.9 (-2.3, 0.5)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
3,Rutland County,***,"169.7 (153.2, 187.8)","2 (1, 5)",85,stable,"-0.2 (-0.8, 0.3)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
4,Lamoille County,***,"150.7 (125.1, 180.5)","3 (1, 13)",26,stable,"-0.8 (-1.7, 0.0)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
5,Grand Isle County,***,"146.1 (99.8, 209.1)","4 (1, 14)",7,stable,"-1.1 (-2.9, 0.8)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
6,Windham County,***,"142.7 (125.0, 162.6)","5 (2, 13)",51,falling,"-1.0 (-1.5, -0.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
7,Orange County,***,"137.7 (116.1, 162.9)","6 (2, 14)",31,falling,"-1.4 (-2.2, -0.6)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
8,Orleans County,***,"136.9 (115.2, 162.2)","7 (2, 14)",31,falling,"-1.0 (-1.7, -0.3)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
9,Bennington County,***,"136.5 (117.9, 157.8)","8 (2, 14)",44,falling,"-0.9 (-1.4, -0.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
10,Washington County,***,"135.8 (120.2, 153.0)","9 (3, 14)",60,falling,"-1.2 (-1.7, -0.6)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
11,Caledonia County,***,"135.1 (113.2, 160.3)","10 (2, 14)",31,stable,"-0.8 (-1.6, 0.1)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
12,Franklin County,***,"134.2 (116.4, 154.2)","11 (3, 14)",43,falling,"-1.5 (-2.3, -0.8)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
13,Windsor County,***,"131.8 (117.3, 147.9)","12 (4, 14)",66,falling,"-0.9 (-1.4, -0.4)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
14,Chittenden County,***,"127.0 (117.3, 137.3)","13 (6, 14)",135,falling,"-1.5 (-1.8, -1.1)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
15,Addison County,***,"114.9 (97.5, 135.0)","14 (7, 14)",33,falling,"-1.2 (-1.9, -0.5)",Vermont,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,,
0,Virginia,***,"183.1 (181.3, 185.0)",,7927,falling,"-2.1 (-2.2, -2.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
1,United States,***,"181.4 (181.1, 181.7)",,314987,falling,"-2.3 (-2.6, -2.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
2,Galax City,***,"483.5 (385.3, 600.1)","1 (1, 7)",17,stable,"-9.0 (-33.6, 24.9)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
3,Covington City,***,"451.6 (348.8, 576.8)","2 (1, 10)",14,rising,"10.5 (2.3, 19.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
4,Martinsville City,***,"411.4 (341.0, 492.1)","3 (1, 9)",28,rising,"7.6 (1.6, 14.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
5,Petersburg City,***,"351.3 (309.4, 397.4)","4 (1, 12)",55,falling,"-1.0 (-1.4, -0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
6,Franklin City,***,"343.9 (269.1, 434.0)","5 (1, 50)",16,stable,"-0.5 (-1.5, 0.4)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
7,Lexington City,***,"333.9 (247.3, 443.5)","6 (1, 77)",10,rising,"18.0 (2.3, 36.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
8,Hopewell City,***,"329.9 (282.1, 383.5)","7 (2, 23)",36,falling,"-0.7 (-1.2, -0.1)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
9,Northampton County,***,"279.3 (231.4, 335.9)","8 (4, 73)",26,falling,"-1.1 (-2.1, -0.1)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
10,Greensville County,***,"275.1 (216.9, 344.1)","9 (3, 95)",18,falling,"-1.8 (-3.2, -0.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
11,Bristol City,***,"272.2 (228.3, 322.6)","10 (4, 74)",28,stable,"-0.9 (-1.7, 0.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
12,Richmond County,***,"270.7 (213.9, 339.3)","11 (4, 102)",16,falling,"-1.1 (-2.1, -0.1)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
13,Dickenson County,***,"269.5 (224.9, 321.2)","12 (4, 76)",28,stable,"-0.4 (-1.4, 0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
14,Fairfax City,***,"264.7 (222.8, 312.1)","13 (5, 76)",30,falling,"-1.8 (-3.2, -0.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
15,Colonial Heights City,***,"262.5 (220.0, 311.4)","14 (5, 85)",28,falling,"-1.6 (-2.4, -0.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
16,Tazewell County,***,"262.3 (235.4, 291.6)","15 (6, 51)",74,falling,"-1.2 (-1.7, -0.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
17,Waynesboro City,***,"258.8 (220.4, 302.4)","16 (6, 81)",33,stable,"-0.8 (-1.6, 0.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
18,Danville City,***,"254.6 (226.1, 285.9)","17 (7, 65)",62,falling,"-1.2 (-1.8, -0.6)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
19,Salem City,***,"253.9 (218.5, 293.8)","18 (6, 74)",38,stable,"-0.7 (-1.4, 0.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
20,Staunton City,***,"253.8 (218.5, 293.7)","19 (6, 78)",39,stable,"-0.3 (-1.0, 0.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
21,Norton City,***,"249.1 (161.4, 368.9)","20 (2, 132)",5,falling,"-2.1 (-4.0, -0.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
22,Nelson County,***,"245.9 (204.7, 294.4)","21 (6, 102)",29,stable,"-0.1 (-1.0, 0.9)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
23,Portsmouth City,***,"244.2 (223.9, 265.9)","22 (10, 59)",113,falling,"-1.7 (-2.2, -1.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
24,Norfolk City,***,"244.0 (229.4, 259.2)","23 (12, 52)",229,stable,"1.3 (-2.0, 4.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
25,Smyth County,***,"243.3 (214.5, 275.4)","24 (8, 77)",54,falling,"-1.0 (-1.7, -0.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
26,Lynchburg City,***,"240.9 (218.3, 265.2)","25 (9, 66)",86,falling,"-1.4 (-1.9, -1.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
27,Russell County,***,"240.5 (208.8, 276.0)","26 (7, 86)",45,stable,"-0.2 (-0.8, 0.4)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
28,Surry County,***,"239.5 (177.8, 318.8)","27 (4, 126)",11,falling,"-2.1 (-3.4, -0.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
29,Sussex County,***,"239.5 (189.2, 299.7)","28 (5, 122)",16,falling,"-2.6 (-3.6, -1.6)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
30,Prince Edward County,***,"239.1 (201.0, 282.8)","29 (7, 102)",29,falling,"-1.2 (-2.0, -0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
31,Warren County,***,"239.0 (208.9, 272.3)","30 (8, 84)",51,falling,"-1.3 (-2.0, -0.6)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
32,Gloucester County,***,"238.3 (210.3, 269.1)","31 (9, 80)",57,falling,"-1.3 (-1.9, -0.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
33,Amelia County,***,"237.4 (190.6, 292.8)","32 (6, 117)",20,falling,"-1.6 (-2.7, -0.4)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
34,Wise County,***,"235.0 (207.0, 265.9)","33 (10, 84)",55,falling,"-1.5 (-2.0, -0.9)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
35,Newport News City,***,"233.3 (217.6, 249.7)","34 (15, 64)",176,falling,"-1.8 (-2.1, -1.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
36,Brunswick County,***,"233.3 (194.4, 278.4)","35 (7, 109)",27,falling,"-2.5 (-3.5, -1.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
37,Buchanan County,***,"231.3 (197.6, 269.8)","36 (9, 99)",36,falling,"-1.0 (-1.8, -0.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
38,Radford City,***,"231.3 (175.7, 298.4)","37 (5, 126)",13,falling,"-1.5 (-2.9, -0.1)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
39,Essex County,***,"230.8 (183.8, 287.8)","38 (6, 118)",18,falling,"-1.6 (-2.8, -0.4)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
40,Halifax County with South Boston City,***,"230.4 (203.7, 260.1)","39 (9, 89)",58,falling,"-1.8 (-2.3, -1.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
41,Page County,***,"230.3 (198.5, 266.4)","40 (9, 102)",40,falling,"-1.4 (-2.2, -0.6)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
42,Hampton City,***,"228.2 (211.8, 245.5)","41 (18, 71)",153,falling,"-1.5 (-1.9, -1.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
43,Giles County,***,"227.2 (189.1, 271.5)","42 (8, 116)",27,falling,"-1.1 (-2.0, -0.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
44,Lunenburg County,***,"226.4 (181.4, 279.9)","43 (6, 119)",19,falling,"-1.6 (-2.8, -0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
45,Mecklenburg County,***,"224.1 (197.6, 253.9)","44 (12, 99)",55,falling,"-1.2 (-2.0, -0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
46,Scott County,***,"223.9 (192.9, 259.4)","45 (10, 105)",39,falling,"-1.3 (-2.0, -0.7)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
47,Roanoke City,***,"223.6 (205.0, 243.5)","46 (17, 81)",114,falling,"-1.5 (-1.9, -1.0)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
48,Buckingham County,***,"222.3 (184.5, 266.2)","47 (8, 117)",26,stable,"-1.0 (-2.2, 0.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
49,Buena Vista City,***,"221.0 (158.4, 302.5)","48 (5, 131)",8,falling,"-1.9 (-3.2, -0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
50,Madison County,***,"220.8 (178.8, 270.9)","49 (7, 118)",21,stable,"-0.7 (-1.9, 0.5)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
51,Charlotte County,***,"219.4 (176.4, 271.1)","50 (8, 125)",19,falling,"-1.6 (-2.5, -0.6)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
52,Westmoreland County,***,"219.2 (185.8, 258.1)","51 (11, 114)",32,falling,"-2.1 (-3.0, -1.2)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
53,Nottoway County,***,"218.8 (179.3, 265.1)","52 (9, 123)",22,falling,"-2.0 (-2.8, -1.3)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
54,Goochland County,***,"218.8 (186.8, 255.5)","53 (10, 115)",37,falling,"-1.9 (-2.9, -0.9)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
55,Accomack County,***,"215.7 (190.1, 244.2)","54 (16, 103)",54,falling,"-1.7 (-2.2, -1.1)",Virginia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,,
